Date,Weight,Steps.,Calorie
19/04/2020,84.7,25000,1147
18/04/2020,84.9,14238,1529
17/04/2020,84.9,34500,2054
16/04/2020,84.9,30000,1299
15/04/2020,85.2,30500,1453
14/04/2020,86.1,32200,1602
13/04/2020,86.7,29000,1711
12/04/2020,86.7,28000,1850
11/04/2020,86.5,26585,2144
10/04/2020,86.7,14500,2726
09/04/2020,87.1,27439,1320
08/04/2020,87.7,29787,1609
07/04/2020,87.9,26370,1358
06/04/2020,88.3,20050,1320
05/04/2020,88.3,11850,3180
04/04/2020,87.9,11400,470
03/04/2020,87.1,19030,4788
02/04/2020,87.1,24093,1480
01/04/2020,87.1,2450,2686
31/03/2020,87.7,20784,1576
30/03/2020,89.7,14854,850
