,id,timestamp_unix,timestamp_obj,amount_weight,amount_steps
0,396,1591401600.0,2020-06-06,78.9,10
1,398,1591315200.0,2020-06-05,80.2,10
2,394,1591228800.0,2020-06-04,79.9,10
3,393,1591142400.0,2020-06-03,79.7,10000
4,389,1591056000.0,2020-06-02,80.6,20000
5,386,1590969600.0,2020-06-01,80.7,21000
6,385,1590883200.0,2020-05-31,80.5,15000
7,236,1590796800.0,2020-05-30,80.5,13000
8,391,1590710400.0,2020-05-29,80.8,2
9,390,1590624000.0,2020-05-28,80.2,2
10,388,1590537600.0,2020-05-27,81.2,2
11,235,1590451200.0,2020-05-26,80.8,18000
12,231,1590364800.0,2020-05-25,81.2,13100
13,234,1590278400.0,2020-05-24,82.2,14200
14,232,1590192000.0,2020-05-23,81.8,9433
15,229,1590105600.0,2020-05-22,81.6,29700
16,230,1590019200.0,2020-05-21,80.2,7303
17,227,1589932800.0,2020-05-20,80.5,6064
18,226,1589846400.0,2020-05-19,80.9,15000
19,199,1589760000.0,2020-05-18,81.4,6515
20,200,1589673600.0,2020-05-17,81.7,15036
21,363,1587254400.0,2020-04-19,84.7,25000
22,364,1587168000.0,2020-04-18,84.9,14238
23,365,1587081600.0,2020-04-17,84.9,34500
24,366,1586995200.0,2020-04-16,84.9,30000
25,367,1586908800.0,2020-04-15,85.2,30500
26,368,1586822400.0,2020-04-14,86.1,32200
27,369,1586736000.0,2020-04-13,86.7,29000
28,370,1586649600.0,2020-04-12,86.7,28000
29,371,1586563200.0,2020-04-11,86.5,26585
30,372,1586476800.0,2020-04-10,86.7,14500
31,373,1586390400.0,2020-04-09,87.1,27439
32,374,1586304000.0,2020-04-08,87.7,29787
33,375,1586217600.0,2020-04-07,87.9,26370
34,376,1586131200.0,2020-04-06,88.3,20050
35,377,1586044800.0,2020-04-05,88.3,11850
36,378,1585958400.0,2020-04-04,87.9,11400
37,379,1585872000.0,2020-04-03,87.1,19030
38,380,1585785600.0,2020-04-02,87.1,24093
39,381,1585699200.0,2020-04-01,87.1,2450
40,406,1591747200.0,2020-06-10,81.2,10
41,407,1591660800.0,2020-06-09,80.3,10
42,382,1585612800.0,2020-03-31,87.7,20784
43,383,1585526400.0,2020-03-30,89.7,14854
44,404,1592092800.0,2020-06-14,80.3,10
45,401,1592006400.0,2020-06-13,80.8,10
46,402,1591920000.0,2020-06-12,79.8,80
47,400,1591833600.0,2020-06-11,80.7,10
48,399,1591574400.0,2020-06-08,81.3,15000
49,395,1591488000.0,2020-06-07,79.5,10
