,_id,w_date,w_weight,w_fat,w_exer,w_drunk,w_val_a,w_val_b,w_val_c,w_check_a,w_check_b,w_check_c,w_memo
0,1,2018-09-12,8310,0,false,false,0,0,0,false,false,false,
1,2,2018-09-13,8240,0,false,false,0,0,0,false,false,false,
2,3,2018-09-14,8270,0,false,false,0,0,0,false,false,false,
3,4,2018-09-17,8300,0,false,false,0,0,0,false,false,false,
4,5,2018-09-16,8400,0,false,false,0,0,0,false,false,false,
5,6,2018-09-15,0,0,false,false,0,0,0,false,false,false,
6,7,2018-09-18,8250,0,true,false,0,0,0,false,false,false,- 1 Stuck Apfelkuchen
7,8,2018-09-19,8240,0,false,false,0,0,0,false,false,false,
8,9,2018-09-20,8400,0,false,false,0,0,0,false,false,false,
9,10,2018-09-21,8170,0,false,false,0,0,0,false,false,false,
10,11,2018-09-24,8500,0,false,false,0,0,0,false,false,false,
11,12,2018-09-23,0,0,false,false,0,0,0,false,false,false,
12,13,2018-09-22,8350,0,false,false,0,0,0,false,false,false,
13,14,2018-09-25,0,0,false,false,0,0,0,false,false,false,
14,15,2018-09-27,8400,0,false,false,0,0,0,false,false,false,I
15,16,2018-09-26,0,0,false,false,0,0,0,false,false,false,
16,17,2018-09-28,8380,0,false,false,0,0,0,false,false,false,3 kuchen
17,18,2018-09-29,8240,0,false,false,0,0,0,false,false,false,
18,19,2018-10-05,0,0,false,false,0,0,0,false,false,false,
19,20,2018-10-04,0,0,false,false,0,0,0,false,false,false,
20,21,2018-10-03,0,0,false,false,0,0,0,false,false,false,
21,22,2018-10-02,0,0,false,false,0,0,0,false,false,false,
22,23,2018-10-01,0,0,false,false,0,0,0,false,false,false,
23,24,2018-09-30,0,0,false,false,0,0,0,false,false,false,
24,25,2018-10-14,0,0,false,false,0,0,0,false,false,false,
25,26,2018-10-13,0,0,false,false,0,0,0,false,false,false,
26,27,2018-10-12,0,0,false,false,0,0,0,false,false,false,
27,28,2018-10-11,0,0,false,false,0,0,0,false,false,false,
28,29,2018-10-10,0,0,false,false,0,0,0,false,false,false,
29,30,2018-10-09,0,0,false,false,0,0,0,false,false,false,
30,31,2018-10-08,0,0,false,false,0,0,0,false,false,false,
31,32,2018-10-07,0,0,false,false,0,0,0,false,false,false,
32,33,2018-10-06,0,0,false,false,0,0,0,false,false,false,
33,34,2018-10-23,0,0,false,false,0,0,0,false,false,false,
34,35,2018-10-22,0,0,false,false,0,0,0,false,false,false,
35,36,2018-10-21,0,0,false,false,0,0,0,false,false,false,
36,37,2018-10-20,0,0,false,false,0,0,0,false,false,false,
37,38,2018-10-19,0,0,false,false,0,0,0,false,false,false,
38,39,2018-10-18,0,0,false,false,0,0,0,false,false,false,
39,40,2018-10-17,0,0,false,false,0,0,0,false,false,false,
40,41,2018-10-16,0,0,false,false,0,0,0,false,false,false,
41,42,2018-10-15,0,0,false,false,0,0,0,false,false,false,
42,43,2018-11-04,0,0,false,false,0,0,0,false,false,false,
43,44,2018-11-03,0,0,false,false,0,0,0,false,false,false,
44,45,2018-11-02,0,0,false,false,0,0,0,false,false,false,
45,46,2018-11-01,0,0,false,false,0,0,0,false,false,false,
46,47,2018-10-31,0,0,false,false,0,0,0,false,false,false,
47,48,2018-10-30,0,0,false,false,0,0,0,false,false,false,
48,49,2018-10-29,0,0,false,false,0,0,0,false,false,false,
49,50,2018-10-28,0,0,false,false,0,0,0,false,false,false,
50,51,2018-10-27,0,0,false,false,0,0,0,false,false,false,
51,52,2018-10-26,0,0,false,false,0,0,0,false,false,false,
52,53,2018-10-25,0,0,false,false,0,0,0,false,false,false,
53,54,2018-10-24,0,0,false,false,0,0,0,false,false,false,
54,55,2018-11-05,8560,0,false,false,0,0,0,false,false,false,
55,56,2018-11-08,8470,0,false,false,0,0,0,false,false,false,
56,57,2018-11-07,0,0,false,false,0,0,0,false,false,false,
57,58,2018-11-06,0,0,false,false,0,0,0,false,false,false,
58,59,2018-11-09,8410,0,false,false,0,0,0,false,false,false,
59,60,2018-11-10,8410,0,false,false,0,0,0,false,false,false,
60,61,2018-11-12,0,0,false,false,0,0,0,false,false,false,
61,62,2018-11-11,0,0,false,false,0,0,0,false,false,false,
62,63,2018-11-13,0,0,false,false,0,0,0,false,false,false,
63,64,2018-11-14,8490,0,false,false,0,0,0,false,false,false,
